"","x"
"1","(Intercept)"
"2","trim: 320"
"3","trim: 350"
"4","trim: 400"
"5","trim: 420"
"6","trim: 430"
"7","trim: 450"
"8","trim: 500"
"9","trim: 550"
"10","trim: 55 AMG"
"11","trim: 600"
"12","trim: 63 AMG"
"13","trim: 65 AMG"
"14","trim: unknown"
"15","subTrim: Hybrid"
"16","subTrim: unknown"
"17","condition: CPO"
"18","condition: New"
"19","condition: Used"
"20","isOneOwner: f"
"21","isOneOwner: t"
"22","mileage"
"23","year: 1988"
"24","year: 1994"
"25","year: 1995"
"26","year: 1996"
"27","year: 1997"
"28","year: 1998"
"29","year: 1999"
"30","year: 2000"
"31","year: 2001"
"32","year: 2002"
"33","year: 2003"
"34","year: 2004"
"35","year: 2005"
"36","year: 2006"
"37","year: 2007"
"38","year: 2008"
"39","year: 2009"
"40","year: 2010"
"41","year: 2011"
"42","year: 2012"
"43","year: 2013"
"44","year: 2014"
"45","year: 2015"
"46","color: Beige"
"47","color: Black"
"48","color: Blue"
"49","color: Bronze"
"50","color: Brown"
"51","color: Gold"
"52","color: Gray"
"53","color: Green"
"54","color: Purple"
"55","color: Red"
"56","color: Silver"
"57","color: Turquoise"
"58","color: unknown"
"59","color: White"
"60","color: Yellow"
"61","displacement: 3.0 L"
"62","displacement: 3.2 L"
"63","displacement: 3.5 L"
"64","displacement: 3.7 L"
"65","displacement: 4.2 L"
"66","displacement: 4.3 L"
"67","displacement: 4.6 L"
"68","displacement: 4.7 L"
"69","displacement: 5.0 L"
"70","displacement: 5.4 L"
"71","displacement: 5.5 L"
"72","displacement: 5.8 L"
"73","displacement: 6.0 L"
"74","displacement: 6.3 L"
"75","displacement: 8.0 L"
"76","displacement: unknown"
"77","fuel: Diesel"
"78","fuel: Gasoline"
"79","fuel: Hybrid"
"80","fuel: unknown"
"81","state: AK"
"82","state: AL"
"83","state: AR"
"84","state: AZ"
"85","state: CA"
"86","state: CO"
"87","state: CT"
"88","state: DC"
"89","state: DE"
"90","state: FL"
"91","state: GA"
"92","state: HI"
"93","state: IA"
"94","state: ID"
"95","state: IL"
"96","state: IN"
"97","state: KS"
"98","state: KY"
"99","state: LA"
"100","state: MA"
"101","state: MD"
"102","state: ME"
"103","state: MI"
"104","state: MN"
"105","state: MO"
"106","state: MS"
"107","state: MT"
"108","state: NC"
"109","state: ND"
"110","state: NE"
"111","state: NH"
"112","state: NJ"
"113","state: NM"
"114","state: NV"
"115","state: NY"
"116","state: OH"
"117","state: OK"
"118","state: ON"
"119","state: OR"
"120","state: PA"
"121","state: RI"
"122","state: SC"
"123","state: SD"
"124","state: TN"
"125","state: TX"
"126","state: unknown"
"127","state: UT"
"128","state: VA"
"129","state: WA"
"130","state: WI"
"131","state: WV"
"132","state: WY"
"133","region: ENC"
"134","region: ESC"
"135","region: Mid"
"136","region: Mtn"
"137","region: New"
"138","region: Pac"
"139","region: SoA"
"140","region: unknown"
"141","region: WNC"
"142","region: WSC"
"143","soundSystem: Alpine"
"144","soundSystem: Bang Olufsen"
"145","soundSystem: Bose"
"146","soundSystem: Boston Acoustic"
"147","soundSystem: Harman Kardon"
"148","soundSystem: Premium"
"149","soundSystem: unknown"
"150","wheelType: Alloy"
"151","wheelType: Chrome"
"152","wheelType: Premium"
"153","wheelType: Steel"
"154","wheelType: unknown"
"155","wheelSize: 16"
"156","wheelSize: 17"
"157","wheelSize: 18"
"158","wheelSize: 19"
"159","wheelSize: 20"
"160","wheelSize: 21"
"161","wheelSize: 22"
"162","wheelSize: unknown"
"163","featureCount"
"164","price"
